íj,,,,,,,,àÆãuÇPíöñ⁄,àÆãuÇQíöñ⁄,è¨í|í¨ÇPíöñ⁄,è¨í|í¨ÇQíöñ⁄,âhí¨,âHëÚÇPíöñ⁄,âHëÚÇQíöñ⁄,âHëÚÇRíöñ⁄,ñLã è„ÇPíöñ⁄,ñLã è„ÇQíöñ⁄,ñLã íÜÇPíöñ⁄,ñLã íÜÇQíöñ⁄,ñLã íÜÇRíöñ⁄,ñLã íÜÇSíöñ⁄,ñLã ìÏÇPíöñ⁄,ñLã ìÏÇQíöñ⁄,ñLã ìÏÇRíöñ⁄,ñLã ñkÇPíöñ⁄,ñLã ñkÇQíöñ⁄,ñLã ñkÇRíöñ⁄,ñLã ñkÇSíöñ⁄,ñLã ñkÇTíöñ⁄,ñLã ñkÇUíöñ⁄,íÜë∫ÇPíöñ⁄,íÜë∫ÇQíöñ⁄,íÜë∫ÇRíöñ⁄,íÜë∫ìÏÇPíöñ⁄,íÜë∫ìÏÇQíöñ⁄,íÜë∫ìÏÇRíöñ⁄,íÜë∫ñkÇPíöñ⁄,íÜë∫ñkÇQíöñ⁄,íÜë∫ñkÇRíöñ⁄,íÜë∫ñkÇSíöñ⁄,ç˜ë‰ÇPíöñ⁄,ç˜ë‰ÇQíöñ⁄,ç˜ë‰ÇRíöñ⁄,ç˜ë‰ÇSíöñ⁄,ç˜ë‰ÇTíöñ⁄,ç˜ë‰ÇUíöñ⁄,ó˚înÇPíöñ⁄,ó˚înÇQíöñ⁄,ó˚înÇRíöñ⁄,ó˚înÇSíöñ⁄,å¸éRÇPíöñ⁄,å¸éRÇQíöñ⁄,å¸éRÇRíöñ⁄,å¸éRÇSíöñ⁄,ä—à‰ÇPíöñ⁄,ä—à‰ÇQíöñ⁄,ä—à‰ÇRíöñ⁄,ä—à‰ÇSíöñ⁄,ä—à‰ÇTíöñ⁄,ã—ÇPíöñ⁄,ã—ÇQíöñ⁄,ïXêÏë‰ÇPíöñ⁄,ïXêÏë‰ÇQíöñ⁄,ïXêÏë‰ÇRíöñ⁄,ïXêÏë‰ÇSíöñ⁄,ïΩòaë‰ÇPíöñ⁄,ïΩòaë‰ÇQíöñ⁄,ïΩòaë‰ÇRíöñ⁄,ïΩòaë‰ÇSíöñ⁄,ëÅã{ÇPíöñ⁄,ëÅã{ÇQíöñ⁄,ëÅã{ÇRíöñ⁄,ëÅã{ÇSíöñ⁄,ètì˙í¨ÇPíöñ⁄,ètì˙í¨ÇQíöñ⁄,ètì˙í¨ÇRíöñ⁄,ètì˙í¨ÇSíöñ⁄,ètì˙í¨ÇTíöñ⁄,ètì˙í¨ÇUíöñ⁄,çÇèºÇPíöñ⁄,çÇèºÇQíöñ⁄,çÇèºÇRíöñ⁄,çÇèºÇSíöñ⁄,çÇèºÇTíöñ⁄,çÇèºÇUíöñ⁄,ñkí¨ÇPíöñ⁄,ñkí¨ÇQíöñ⁄,ñkí¨ÇRíöñ⁄,ñkí¨ÇSíöñ⁄,ñkí¨ÇTíöñ⁄,ñkí¨ÇUíöñ⁄,ñkí¨ÇVíöñ⁄,ñkí¨ÇWíöñ⁄,ìcïøÇPíöñ⁄,ìcïøÇQíöñ⁄,ìcïøÇRíöñ⁄,ìcïøÇSíöñ⁄,ìcïøÇTíöñ⁄,åıÇ™ãuÇPíöñ⁄,åıÇ™ãuÇQíöñ⁄,åıÇ™ãuÇRíöñ⁄,åıÇ™ãuÇSíöñ⁄,åıÇ™ãuÇTíöñ⁄,åıÇ™ãuÇUíöñ⁄,åıÇ™ãuÇVíöñ⁄,àÆí¨ÇPíöñ⁄,àÆí¨ÇQíöñ⁄,àÆí¨ÇRíöñ⁄,ìyéxìcÇPíöñ⁄,ìyéxìcÇQíöñ⁄,ìyéxìcÇRíöñ⁄,ìyéxìcÇSíöñ⁄,ïxémå©ë‰ÇPíöñ⁄,ïxémå©ë‰ÇQíöñ⁄,ïxémå©ë‰ÇRíöñ⁄,ïxémå©ë‰ÇSíöñ⁄,ìÏìcíÜÇPíöñ⁄,ìÏìcíÜÇQíöñ⁄,ìÏìcíÜÇRíöñ⁄,ìÏìcíÜÇSíöñ⁄,ìÏìcíÜÇTíöñ⁄,çÇñÏë‰ÇPíöñ⁄,çÇñÏë‰ÇQíöñ⁄,çÇñÏë‰ÇRíöñ⁄,çÇñÏë‰ÇSíöñ⁄,çÇñÏë‰ÇTíöñ⁄,íJå¥ÇPíöñ⁄,íJå¥ÇQíöñ⁄,íJå¥ÇRíöñ⁄,íJå¥ÇSíöñ⁄,íJå¥ÇTíöñ⁄,íJå¥ÇUíöñ⁄,éOå¥ë‰ÇPíöñ⁄,éOå¥ë‰ÇQíöñ⁄,éOå¥ë‰ÇRíöñ⁄,êŒê_à‰í¨ÇPíöñ⁄,êŒê_à‰í¨ÇQíöñ⁄,êŒê_à‰í¨ÇRíöñ⁄,êŒê_à‰í¨ÇSíöñ⁄,êŒê_à‰í¨ÇTíöñ⁄,êŒê_à‰í¨ÇUíöñ⁄,êŒê_à‰í¨ÇVíöñ⁄,êŒê_à‰í¨ÇWíöñ⁄,êŒê_à‰ë‰ÇPíöñ⁄,êŒê_à‰ë‰ÇQíöñ⁄,êŒê_à‰ë‰ÇRíöñ⁄,êŒê_à‰ë‰ÇSíöñ⁄,êŒê_à‰ë‰ÇTíöñ⁄,êŒê_à‰ë‰ÇUíöñ⁄,êŒê_à‰ë‰ÇVíöñ⁄,êŒê_à‰ë‰ÇWíöñ⁄,â∫êŒê_à‰ÇPíöñ⁄,â∫êŒê_à‰ÇQíöñ⁄,â∫êŒê_à‰ÇRíöñ⁄,â∫êŒê_à‰ÇSíöñ⁄,â∫êŒê_à‰ÇTíöñ⁄,â∫êŒê_à‰ÇUíöñ⁄,ìåëÂêÚÇPíöñ⁄,ìåëÂêÚÇQíöñ⁄,ìåëÂêÚÇRíöñ⁄,ìåëÂêÚÇSíöñ⁄,ìåëÂêÚÇTíöñ⁄,ìåëÂêÚÇUíöñ⁄,ìåëÂêÚÇVíöñ⁄,êºëÂêÚÇPíöñ⁄,êºëÂêÚÇQíöñ⁄,êºëÂêÚÇRíöñ⁄,êºëÂêÚÇSíöñ⁄,êºëÂêÚÇTíöñ⁄,êºëÂêÚÇUíöñ⁄,ìÏëÂêÚÇPíöñ⁄,ìÏëÂêÚÇQíöñ⁄,ìÏëÂêÚÇRíöñ⁄,ìÏëÂêÚÇSíöñ⁄,ìÏëÂêÚÇTíöñ⁄,ìÏëÂêÚÇUíöñ⁄,ëÂêÚí¨ÇPíöñ⁄,ëÂêÚí¨ÇQíöñ⁄,ëÂêÚí¨ÇRíöñ⁄,ëÂêÚí¨ÇSíöñ⁄,ëÂêÚí¨ÇTíöñ⁄,ëÂêÚí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇPíöñ⁄,ëÂêÚäwâÄí¨ÇQíöñ⁄,ëÂêÚäwâÄí¨ÇRíöñ⁄,ëÂêÚäwâÄí¨ÇSíöñ⁄,ëÂêÚäwâÄí¨ÇTíöñ⁄,ëÂêÚäwâÄí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇVíöñ⁄,ëÂêÚäwâÄí¨ÇWíöñ⁄,ëÂêÚäwâÄí¨ÇXíöñ⁄,ä÷í¨ñkÇPíöñ⁄,ä÷í¨ñkÇQíöñ⁄,ä÷í¨ñkÇRíöñ⁄,ä÷í¨ñkÇSíöñ⁄,ä÷í¨ñkÇTíöñ⁄,ä÷í¨ìÏÇPíöñ⁄,ä÷í¨ìÏÇQíöñ⁄,ä÷í¨ìÏÇRíöñ⁄,ä÷í¨ìÏÇSíöñ⁄,è„êŒê_à‰ìÏí¨,óßñÏí¨,è„êŒê_à‰ÇPíöñ⁄,è„êŒê_à‰ÇQíöñ⁄,è„êŒê_à‰ÇRíöñ⁄,è„êŒê_à‰ÇSíöñ⁄,ä÷í¨ìåÇPíöñ⁄,ä÷í¨ìåÇQíöñ⁄,êºëÂêÚí¨
43,,54,12,-,,54,1,43,26,41,27,17,10,16,19,18,34,29,23,26,10,11,20,45,20,21,24,31,28,23,12,27,33,31,31,27,25,33,15,25,34,43,25,29,32,32,32,20,40,25,16,21,13,29,37,41,28,33,23,24,21,1,16,42,22,33,26,40,23,32,31,38,27,34,29,27,26,28,37,23,22,18,25,25,22,38,63,27,0,14,9,17,20,30,52,49,55,27,23,27,72,0,13,7,38,40,31,29,32,25,32,38,26,18,25,33,33,15,10,31,16,19,31,16,23,24,21,14,19,13,17,21,34,9,17,17,39,31,34,18,17,25,32,6,27,23,36,28,20,21,26,22,24,23,29,13,24,43,46,31,22,31,51,35,28,16,32,28,23,23,34,20,38,52,38,13,39,23,24,31,15,12,17,20,24,19,36,36,29,30,0,22,30,22,28,44,12,34,48,54,20,46,30,35,27,29,28,11,0
44,,53,12,-,,53,1,38,16,46,32,49,14,20,10,17,40,17,21,28,17,7,20,41,20,19,25,33,36,22,27,33,28,35,45,24,23,35,13,17,46,26,23,30,48,24,32,20,25,24,11,11,21,37,55,29,31,28,21,28,27,0,33,35,32,33,15,41,15,31,27,20,33,30,31,20,28,31,31,24,18,20,30,26,27,30,64,25,3,18,13,17,29,39,55,55,63,29,10,23,64,0,15,4,35,29,40,34,15,35,35,30,18,30,17,28,19,16,18,27,9,25,23,20,19,17,18,10,14,21,26,20,29,14,19,20,30,27,24,11,29,38,35,14,25,39,39,33,23,18,30,34,23,17,28,13,26,28,55,31,24,29,36,38,31,23,19,28,49,18,28,24,31,52,52,10,34,32,20,41,14,22,31,31,19,25,34,34,23,36,0,18,25,27,23,32,24,40,34,52,15,49,34,34,21,40,34,11,0
45,,52,12,-,,52,1,37,11,39,24,36,7,20,19,16,40,19,31,28,10,22,20,28,17,19,22,26,29,24,29,24,25,40,32,24,31,28,24,16,31,24,42,27,38,16,37,21,35,30,19,23,14,28,33,29,40,27,21,35,18,2,31,31,36,28,25,28,23,45,19,36,22,19,22,30,29,29,26,25,13,23,16,17,20,41,63,24,0,16,12,13,23,25,35,45,63,25,17,35,70,0,12,4,43,29,35,41,31,32,34,27,19,30,26,25,21,12,15,20,6,28,29,28,28,26,22,11,19,18,30,12,36,14,25,19,27,40,25,15,26,24,33,10,31,45,34,27,19,23,37,21,18,18,21,25,24,47,59,43,22,30,50,45,33,20,23,32,30,18,20,39,31,36,41,8,43,25,28,27,7,16,20,20,23,28,31,41,30,35,0,24,23,27,21,27,25,40,33,57,9,51,43,26,26,42,24,7,0
46,,51,12,-,,51,1,49,18,46,38,28,8,23,11,23,24,24,25,20,17,25,9,51,22,19,27,27,36,31,20,29,36,26,32,28,42,28,18,23,51,29,40,27,26,32,25,16,32,29,15,25,18,45,35,34,29,36,29,28,18,1,20,34,30,32,23,42,25,31,26,36,31,30,21,24,26,25,34,29,16,19,31,16,30,39,52,26,0,10,18,13,26,40,51,51,49,26,23,28,54,0,11,5,48,37,22,33,33,27,36,19,26,30,24,31,25,17,19,32,10,26,37,18,21,33,20,13,10,19,33,20,29,21,23,14,31,27,35,15,24,25,36,15,35,34,27,37,22,38,29,38,22,20,32,20,27,36,49,27,26,30,42,39,42,20,24,31,22,23,28,26,30,41,30,16,34,34,25,25,16,13,27,27,29,33,40,36,44,28,0,23,34,36,39,25,15,26,31,59,17,43,33,27,23,36,25,17,0
47,,50,12,-,,50,1,33,17,36,17,49,8,25,11,13,34,17,27,37,14,21,15,34,13,25,35,21,32,25,32,34,25,40,20,22,35,32,19,25,35,49,36,25,38,25,37,25,36,27,29,19,15,49,55,30,35,31,18,26,24,1,21,52,34,40,14,28,17,24,20,51,31,29,39,23,34,20,26,32,19,20,23,24,22,27,66,24,0,13,14,19,41,48,52,54,75,17,13,29,62,0,19,8,36,27,25,39,29,27,36,34,20,28,30,27,30,14,28,23,27,20,39,27,19,24,19,12,20,10,15,17,36,23,13,17,32,21,24,15,24,35,39,9,38,40,33,31,18,30,29,27,26,16,31,23,30,41,54,33,19,31,48,41,45,24,22,33,28,27,27,30,33,49,28,17,38,34,27,37,18,22,25,26,23,39,43,40,43,41,0,15,39,26,38,48,19,31,37,56,13,37,43,31,20,34,36,9,0
48,,49,12,-,,49,1,49,13,40,39,40,8,28,12,15,40,14,30,18,23,20,18,29,16,12,27,32,47,15,24,29,25,40,28,13,46,26,18,19,38,40,41,24,30,33,46,27,30,29,13,18,21,37,49,30,37,34,23,37,21,0,30,39,36,23,21,28,22,37,32,31,42,31,29,29,28,30,33,23,23,31,31,18,32,36,53,23,2,12,17,20,24,36,48,60,64,36,20,28,63,0,27,10,39,31,35,37,28,30,36,32,28,44,28,27,23,14,10,24,10,22,33,22,18,28,16,12,23,15,23,18,39,26,27,19,34,28,38,15,44,31,36,11,47,37,41,31,29,26,41,22,29,17,27,35,38,44,85,29,36,27,55,50,28,32,38,32,33,29,41,33,44,47,29,14,40,36,29,30,16,24,16,33,23,37,52,33,39,33,0,30,36,24,33,46,18,41,47,61,15,48,35,25,36,37,34,7,0
49,,48,12,-,,48,1,43,13,50,32,43,18,26,20,13,34,27,21,18,17,15,23,45,19,21,26,39,42,27,24,23,30,32,32,30,37,27,16,28,40,39,35,22,40,26,40,17,25,34,17,26,22,29,47,29,45,35,21,50,25,2,22,49,56,41,17,42,26,37,38,33,46,46,48,30,29,39,24,25,33,25,27,23,33,33,67,26,0,20,21,17,28,35,55,55,42,37,12,32,65,0,18,2,40,42,40,29,26,19,41,41,21,28,36,32,32,14,24,36,13,28,33,27,21,29,28,15,21,23,31,30,49,26,28,19,40,30,27,14,23,49,37,15,52,39,46,33,22,33,30,18,27,27,37,21,27,41,54,33,25,30,58,52,32,25,37,32,48,37,42,38,54,58,40,14,41,48,29,28,18,21,18,28,21,46,40,49,49,47,1,30,40,32,26,44,13,35,31,62,18,53,46,32,28,37,26,10,0
50,,47,12,-,,47,1,53,16,39,29,33,16,22,18,25,34,23,29,22,18,14,24,31,31,28,26,33,24,32,17,28,29,40,28,25,35,31,22,24,34,44,39,13,29,25,35,22,25,38,24,22,21,36,37,29,36,39,18,28,13,0,20,42,43,33,21,30,20,33,31,40,44,22,42,36,34,24,23,29,18,39,37,19,22,40,54,26,1,12,19,23,32,35,60,47,43,29,12,35,75,0,19,6,39,45,44,26,35,19,43,18,17,33,35,24,16,16,15,23,9,24,36,17,15,26,15,13,25,23,44,23,31,22,17,20,34,36,26,10,31,37,36,17,50,57,39,30,24,28,32,22,34,12,30,20,27,37,59,40,21,37,47,42,38,23,33,39,54,28,42,32,30,49,37,16,56,39,38,48,17,11,28,29,35,49,44,38,41,39,0,26,34,22,36,40,30,30,27,67,15,36,44,32,37,31,23,10,0
51,,46,12,-,,46,1,45,14,41,29,31,9,31,16,31,33,18,28,17,16,17,16,44,25,8,23,29,29,24,23,28,33,30,25,26,26,23,12,20,39,37,28,35,29,29,32,19,32,19,12,25,14,39,27,23,30,34,21,30,19,0,24,44,39,24,26,35,14,44,26,40,36,34,36,31,25,33,24,10,18,26,27,20,29,38,58,27,1,17,16,20,32,35,57,56,66,42,24,39,47,0,17,1,30,40,30,41,37,25,32,32,31,33,28,30,23,13,22,37,14,27,25,24,28,26,19,10,19,26,25,25,41,22,19,31,35,33,32,13,35,29,26,17,42,43,25,38,26,35,36,33,32,21,25,25,25,40,61,41,28,31,70,49,39,25,36,38,42,24,40,32,48,60,31,11,38,43,39,44,13,29,34,35,31,39,56,42,38,47,1,18,41,29,24,44,17,33,33,52,18,48,42,30,38,30,36,9,1
52,,45,12,-,,45,1,46,20,39,25,36,6,30,19,20,32,17,32,17,27,23,17,49,19,27,22,33,31,22,20,34,36,38,24,30,41,27,11,21,37,37,30,32,29,22,34,17,23,31,16,19,17,29,31,26,30,31,20,23,18,0,19,37,47,37,19,45,18,48,37,33,36,47,51,28,44,40,27,22,20,30,31,27,21,31,61,21,0,14,22,13,28,34,60,55,55,40,19,26,64,0,21,8,45,36,41,35,42,25,41,32,22,37,32,46,21,7,25,35,16,29,41,19,26,16,21,21,20,14,33,12,46,17,20,27,28,22,39,13,31,35,44,17,38,40,38,33,28,32,33,25,24,26,30,18,29,34,61,36,21,32,42,56,27,26,39,40,45,15,32,34,43,57,46,17,62,42,53,41,17,20,28,36,28,62,52,42,40,40,2,33,32,36,33,34,19,29,31,70,14,38,43,53,22,35,26,8,0
53,,44,12,-,,44,1,38,25,35,19,31,6,24,15,18,37,19,26,16,11,23,12,36,24,14,23,27,33,24,22,28,24,37,27,26,36,25,16,29,47,27,44,24,33,31,29,19,21,36,25,25,21,38,49,36,38,34,24,28,23,5,18,29,37,30,24,42,31,42,39,32,33,30,44,20,23,33,29,27,21,34,32,21,22,37,67,18,0,17,17,16,23,46,53,46,68,39,16,37,50,0,13,1,34,39,34,33,26,18,42,45,27,38,35,29,24,16,20,28,16,21,38,19,22,23,25,14,20,21,30,20,51,24,41,22,36,30,28,14,24,40,44,17,35,38,38,28,25,29,32,24,22,20,29,26,29,38,54,36,18,23,36,45,43,25,27,33,36,27,36,47,47,50,53,11,60,37,47,38,20,25,32,40,36,33,46,46,48,48,1,19,39,26,20,36,16,36,26,65,18,45,42,20,19,36,34,11,0
54,,43,12,-,,43,1,40,21,37,32,44,11,24,19,20,30,15,29,20,8,29,16,34,16,14,21,32,18,21,11,38,33,33,33,25,26,22,15,27,28,32,31,17,30,21,36,17,29,31,14,18,15,34,35,24,41,24,14,23,21,2,16,42,42,31,24,27,26,45,38,36,32,28,46,32,44,34,25,24,16,41,27,21,29,39,37,29,0,24,17,27,29,47,46,56,61,29,12,31,46,0,18,6,36,34,32,35,31,21,31,26,30,41,31,39,22,12,20,22,21,28,32,23,22,24,25,21,23,21,19,22,31,20,23,24,29,25,31,10,23,44,45,12,28,35,36,36,22,39,21,32,30,23,35,18,24,44,58,25,25,17,44,61,34,28,47,37,46,28,57,30,42,51,42,22,57,43,39,38,12,20,35,40,29,36,40,41,63,37,1,35,40,27,26,56,15,35,27,56,16,47,43,26,25,38,29,20,0
55,,42,12,-,,42,1,53,18,33,29,27,9,36,14,18,26,23,32,16,16,20,16,40,18,21,21,31,30,29,23,27,33,30,24,30,25,27,17,32,39,40,50,19,29,27,29,21,33,27,17,19,21,26,47,31,39,40,23,25,18,4,25,37,46,34,24,45,17,52,44,34,40,30,46,39,37,43,34,22,24,35,31,24,31,31,46,31,0,20,16,25,42,46,60,48,60,38,16,37,50,0,13,7,26,31,26,47,29,16,35,30,37,38,32,30,23,23,22,19,14,29,26,23,29,26,19,20,13,22,18,24,34,23,28,18,23,37,24,14,25,40,38,14,42,38,26,42,17,30,37,23,31,16,32,24,32,38,52,32,27,26,45,64,34,28,44,36,33,27,43,40,40,62,30,16,56,44,39,36,14,31,13,23,33,45,53,45,37,48,5,26,39,36,41,59,22,32,25,58,15,49,31,38,31,41,26,15,0
56,,41,12,-,,41,1,35,5,33,20,24,13,21,10,13,22,14,22,12,5,13,17,31,13,14,12,24,19,23,16,27,22,20,21,18,27,14,14,15,34,28,33,20,26,17,23,17,22,26,12,12,20,24,26,19,14,16,14,24,19,2,12,34,32,14,18,27,14,41,28,30,33,35,39,19,25,32,26,13,11,22,23,10,20,24,36,15,0,20,13,19,31,27,42,45,38,35,10,24,46,0,13,2,27,33,27,28,31,20,31,21,18,22,18,23,17,14,14,14,14,25,14,16,12,11,12,10,11,16,18,18,29,9,16,17,32,14,24,10,23,30,23,7,33,35,23,19,18,28,23,26,26,18,22,14,25,37,52,23,22,25,37,45,35,30,30,25,36,18,31,30,26,44,37,13,45,32,26,28,13,7,10,20,38,35,29,33,45,42,1,26,23,23,20,43,15,25,21,42,13,25,31,18,25,25,14,7,0
57,,40,12,-,,40,1,44,14,28,25,34,10,25,13,10,28,16,30,10,16,18,21,28,17,18,16,22,26,36,13,24,32,28,32,25,29,23,7,29,47,41,44,25,29,13,25,20,15,32,6,18,17,24,28,33,42,26,14,23,14,4,19,37,40,27,27,42,24,51,35,52,39,26,35,37,41,37,31,26,10,34,23,26,32,32,33,32,0,19,18,20,30,37,61,44,69,42,9,38,60,0,13,4,37,31,38,29,33,11,29,32,22,35,26,45,27,11,24,22,24,25,21,25,14,13,15,17,18,9,21,15,34,20,27,26,39,28,19,13,26,38,33,12,30,50,31,33,23,31,26,18,21,18,31,19,26,27,61,43,24,27,61,56,40,19,43,34,67,22,38,42,44,57,35,20,44,48,49,46,21,33,28,31,25,41,42,37,43,41,1,22,42,24,30,66,15,34,32,54,23,38,42,35,22,46,31,16,0
58,,39,12,-,,39,1,38,23,35,27,30,15,31,18,13,21,13,19,17,8,17,9,31,23,8,15,21,30,13,12,25,28,42,23,19,33,25,14,17,26,31,35,22,24,27,28,21,19,29,15,24,18,29,25,33,37,40,16,19,18,4,16,37,36,24,27,37,27,45,28,36,26,29,32,27,29,42,30,14,14,21,24,19,20,27,42,20,0,20,19,16,31,27,45,46,60,33,9,20,57,0,14,0,31,26,31,42,22,13,25,25,28,30,25,33,19,15,11,20,27,30,26,24,15,24,4,14,14,16,17,19,35,11,19,16,30,23,25,10,19,34,29,14,25,59,39,30,27,27,33,19,43,20,22,22,35,31,44,33,20,33,44,59,30,22,31,34,41,16,34,33,37,54,43,22,40,42,36,26,15,19,27,42,23,35,41,42,38,39,0,31,38,25,30,57,13,26,24,55,19,27,35,37,29,47,17,10,0
59,,38,12,-,,38,1,29,10,36,18,24,6,24,13,14,21,17,18,19,14,12,13,29,20,14,19,17,17,32,11,18,31,23,23,23,22,19,10,13,37,24,37,26,23,38,16,14,15,24,7,16,17,23,31,29,35,30,11,25,15,3,15,43,33,20,24,35,20,41,25,37,30,29,37,40,32,33,27,16,19,15,17,22,17,23,30,19,0,16,20,23,32,34,47,41,56,28,22,26,60,0,13,5,36,20,30,36,26,17,36,19,28,24,25,29,15,11,17,25,19,16,18,18,17,25,10,22,12,12,17,15,25,16,29,18,33,23,27,11,18,39,28,13,28,46,32,36,27,30,25,11,25,16,22,12,23,42,34,32,21,25,37,52,36,17,29,22,42,18,35,38,28,47,34,16,38,26,22,33,22,19,17,29,23,27,32,39,34,39,0,20,37,24,18,57,13,25,22,59,18,38,32,27,31,40,23,12,0
60,,37,12,-,,37,1,24,14,34,21,22,8,20,12,13,34,16,16,12,7,18,13,26,14,13,20,17,23,19,10,24,19,25,11,20,19,18,14,12,28,22,30,20,27,30,29,28,20,35,19,13,18,33,22,19,31,30,12,12,20,3,24,25,31,22,18,25,13,42,27,23,23,34,36,29,26,29,33,16,17,20,18,18,13,19,26,18,0,22,20,15,22,34,40,39,46,24,15,27,57,0,6,6,43,26,26,28,24,16,24,16,32,32,13,29,18,9,17,24,10,26,6,20,15,19,6,10,10,8,15,19,26,15,24,18,37,16,18,11,22,25,32,13,26,34,24,18,29,15,31,18,17,17,27,20,19,32,43,34,15,26,32,42,23,17,22,25,44,18,46,37,25,45,27,19,34,31,28,25,11,12,31,24,18,31,29,32,33,31,5,26,36,29,31,37,24,26,26,41,13,38,32,30,30,22,35,10,0
61,,36,12,-,,36,1,36,14,30,20,18,13,23,12,9,19,12,20,15,10,15,9,22,12,10,13,15,14,14,9,16,23,23,28,17,17,13,10,20,29,25,28,14,21,18,27,23,11,26,10,12,20,16,21,16,36,27,12,24,18,0,16,27,39,31,20,24,17,35,33,36,33,26,24,28,34,18,17,17,18,24,24,12,16,19,28,21,0,11,11,22,23,28,59,31,40,21,8,21,51,0,12,5,45,17,34,28,16,16,22,29,17,15,24,33,11,9,10,13,11,17,11,19,22,11,8,10,10,6,13,13,36,15,12,12,33,20,19,11,29,21,20,12,25,30,26,26,16,11,28,16,21,22,14,16,23,29,37,23,15,28,36,31,30,17,20,19,40,15,31,41,33,44,27,10,29,38,23,25,14,11,23,29,18,31,27,36,39,29,1,26,28,35,25,54,14,33,19,47,20,36,38,30,19,21,19,14,0
62,,35,12,-,,35,1,27,15,26,15,21,10,22,9,10,24,19,20,11,10,18,8,21,10,13,16,19,16,19,13,23,38,21,16,20,24,19,10,14,23,27,38,13,13,26,26,15,13,24,10,12,13,20,28,22,27,34,12,15,18,2,12,42,29,16,17,23,17,44,29,27,29,34,28,25,26,27,22,10,11,17,14,13,7,28,17,17,0,16,11,16,22,36,43,18,50,17,14,28,55,0,19,4,33,19,19,16,17,6,19,13,23,31,20,19,17,11,16,13,10,14,14,14,16,13,10,10,8,8,19,14,31,10,19,20,32,16,16,5,13,28,32,12,35,42,19,23,23,22,25,10,20,13,31,14,15,19,37,24,16,23,39,37,17,17,29,18,25,18,40,33,35,43,30,11,30,38,26,14,11,11,18,19,16,22,27,32,26,28,4,20,22,26,23,35,14,24,18,40,19,37,34,26,21,31,21,9,0
63,,34,12,-,,34,1,26,12,29,23,18,8,30,11,8,23,14,22,10,9,17,8,29,11,12,20,16,17,15,10,13,15,17,15,14,14,14,10,12,27,17,28,14,17,27,24,12,16,20,17,14,14,24,22,21,19,26,22,23,14,2,15,26,29,23,18,27,20,46,25,32,31,21,24,26,32,24,21,13,10,16,20,9,18,28,31,11,0,13,16,23,24,30,46,28,38,14,9,31,63,0,17,4,29,21,28,23,21,13,20,13,17,29,18,19,8,9,12,18,13,18,12,20,12,18,9,10,9,11,18,10,28,12,14,17,28,14,23,9,16,24,16,6,22,37,24,28,17,24,18,12,20,14,24,11,11,24,37,24,21,25,41,48,19,14,11,20,27,11,27,24,37,40,28,11,20,25,24,21,10,11,18,25,16,20,30,19,28,32,2,17,26,29,24,39,12,21,21,37,10,33,32,24,25,25,20,10,0
64,,33,12,-,,33,1,29,12,21,20,18,8,17,8,9,19,16,15,16,5,11,14,30,10,6,11,21,18,22,11,12,21,18,15,11,23,10,13,11,30,23,26,23,11,22,18,18,12,25,10,16,14,33,29,14,23,19,13,24,13,3,13,20,26,15,21,19,10,37,25,27,17,29,27,25,23,21,19,10,11,18,15,8,20,22,34,12,0,11,13,18,19,21,45,22,27,17,10,33,66,0,21,9,43,19,31,28,10,11,26,18,10,23,15,19,11,4,12,17,11,22,14,14,11,12,11,12,13,10,13,16,28,11,20,17,20,13,23,5,16,22,25,5,28,43,18,25,17,14,15,13,17,12,18,5,14,26,21,32,19,21,37,40,28,13,19,17,26,8,37,38,19,32,28,13,34,24,28,14,9,8,18,27,12,22,23,33,27,27,2,23,21,21,27,34,11,25,25,37,8,36,35,23,17,21,24,10,0
65,,32,12,-,,32,1,29,17,25,27,19,7,27,11,9,20,22,15,17,10,10,9,25,7,12,12,19,10,15,14,20,20,20,20,14,11,10,6,9,39,32,30,20,12,22,12,17,8,12,10,8,8,26,20,14,38,28,10,18,13,2,13,26,26,13,12,12,14,47,17,24,19,24,24,28,24,20,13,15,15,10,5,10,8,27,13,16,0,17,7,19,22,20,39,25,30,18,14,23,67,0,13,10,41,27,18,21,11,9,17,13,22,24,19,19,10,6,7,18,7,20,6,16,7,16,5,8,8,7,15,12,23,15,21,16,21,13,15,7,19,27,20,14,22,29,19,17,18,21,21,5,18,12,24,13,19,29,26,16,14,21,25,38,14,18,19,14,23,8,23,25,23,32,17,13,15,12,21,19,8,13,14,21,15,21,16,29,26,19,1,17,15,26,24,39,15,21,18,42,12,27,17,22,28,25,22,5,0
